regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,BA,,2021-02-09,14873064.0,613339.0,3584,10451,39
Nordeste,AL,,2021-02-09,3337357.0,121603.0,458,2822,8
Nordeste,PE,,2021-02-09,9557071.0,273278.0,1736,10546,38
Nordeste,AL,,2021-02-10,3337357.0,122025.0,422,2831,9
Nordeste,RN,,2021-02-10,3506853.0,146686.0,957,3373,8
Nordeste,BA,,2021-02-10,14873064.0,616789.0,3450,10496,45
Nordeste,SE,,2021-02-10,2298696.0,142901.0,828,2849,7
Nordeste,MA,,2021-02-10,7075181.0,211053.0,514,4810,12
Nordeste,PB,,2021-02-10,4018127.0,200846.0,1140,4182,11
Nordeste,PI,,2021-02-10,3273227.0,163497.0,410,3149,10
Nordeste,CE,,2021-02-10,9132078.0,386108.0,0,10640,0
Nordeste,PE,,2021-02-10,9557071.0,274809.0,1531,10577,31
Nordeste,MA,,2021-02-11,7075181.0,211644.0,591,4821,11
Nordeste,BA,,2021-02-11,14873064.0,620042.0,3253,10543,47
Nordeste,AL,,2021-02-11,3337357.0,122491.0,466,2839,8
Nordeste,CE,,2021-02-11,9132078.0,389457.0,3349,10705,65
Nordeste,PI,,2021-02-11,3273227.0,164162.0,665,3156,7
Nordeste,RN,,2021-02-11,3506853.0,147631.0,945,3381,8
Nordeste,SE,,2021-02-11,2298696.0,143400.0,499,2855,6
Nordeste,PB,,2021-02-11,4018127.0,201976.0,1130,4198,16
Nordeste,PE,,2021-02-11,9557071.0,276452.0,1643,10597,20
Nordeste,BA,,2021-02-12,14873064.0,623678.0,3636,10610,67
Nordeste,PI,,2021-02-12,3273227.0,164858.0,696,3166,10
Nordeste,AL,,2021-02-12,3337357.0,122999.0,508,2848,9
Nordeste,CE,,2021-02-12,9132078.0,390857.0,1400,10741,36
Nordeste,MA,,2021-02-12,7075181.0,212203.0,559,4831,10
Nordeste,PE,,2021-02-12,9557071.0,277832.0,1380,10621,24
